Symbol,A017670,A000660,A010950,A010130,A000270,A004370,A003490,A011170,A005930,A003550,A007310,A005490,A015760,A018880,A012330,A000720,A005380,A004020,A009540,A008770
Symbol Name,SK텔레콤,SK하이닉스,S-Oil,고려아연,기아차,농심,대한항공,롯데케미칼,삼성전자,LG,오뚜기,POSCO,한국전력,한온시스템,현대모비스,현대건설,현대차,현대제철,현대중공업,호텔신라
Kind,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC
Item,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700
Item Name,수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원)
Frequency,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY
2002.6.30,-0.003696858,-0.623154164,-0.188715953,0.013636364,-0.06779661,-0.151686991,-0.131130507,0.128146453,-0.038011696,0.015533981,0.136612022,-0.043010753,-0.126984127,-0.016423358,0.128888889,0.018295739,-0.101863354,0.121359223,0.077129791,-0.183116883
2002.7.31,-0.142857143,0.961402821,-0.251798561,0.002242152,-0.040909091,0.055623868,0.141473332,0.026369168,0.010638298,0.046008604,0.225961538,-0.123595506,-0.027272727,-0.189239332,-0.039370079,0.055905207,-0.022130014,-0.118326118,-0.184882041,0.096979332
2002.8.31,0.023809524,0.049046049,0.256410256,-0.154362416,-0.052132701,-0.023836754,-0.134992142,0.007905138,-0.004511278,-0.266651434,0.129411765,-0.076923077,-0.01635514,0.052631579,0.170081967,0.1795811,-0.038189533,-0.058919804,0.034097621,-0.055072464
2002.9.30,0.002114165,-0.20557989,-0.030612245,-0.26984127,-0.217,-0.074547368,-0.331193605,-0.347058824,-0.098187311,-0.147686556,-0.076388889,-0.013888889,-0.021377672,-0.07826087,-0.159369527,-0.301292909,-0.179411765,0.043478261,-0.235850036,-0.113496933
2002.10.31,-0.050632911,0.117583603,0,0.137681159,0.122605364,-0.027780708,0.352408548,0.174174174,0.155778894,-0.013343082,-0.015037594,0.075117371,-0.104368932,-0.051886792,0.139583333,-0.144479011,0.109318996,-0.021666667,0.098804023,-0.08650519
2002.11.30,0.104444444,-0.084191334,-0.005263158,0.197452229,0.035267349,0.122858417,0.09855383,0.26342711,0.12173913,0.141904409,-0.013358779,0.087336245,0.062330623,0.106965174,0.018281536,0.021440378,0.134087237,0.120954003,0.193815708,0.104166667
2002.12.31,-0.078470825,-0.356364914,-0.14021164,-0.042553191,-0.032967033,-0.083967744,-0.269197952,-0.12145749,-0.188630491,-0.126703439,-0.176015474,-0.052208835,-0.068877551,-0.078651685,-0.217235189,-0.157473762,-0.209401709,-0.118541033,-0.103553668,-0.185248714
2003.1.31,-0.218340611,-0.1606623,-0.144615385,-0.113888889,-0.113636364,-0.002778071,0.026269702,0.262672811,-0.071656051,-0.052758685,-0.068075117,0.008474576,-0.032876712,0,-0.018348624,-0.146408385,-0.10990991,-0.165517241,-0.070846576,-0.08
2003.2.28,-0.078212291,-0.148926946,0.151079137,0.10031348,-0.032051282,-0.004184592,0.153827401,0.04379562,-0.041166381,-0.001568935,-0.047858942,-0.071428571,0.016997167,-0.057317073,0.035046729,-0.051108968,0.016194332,0.053719008,0.039554699,-0.034324943
2003.3.31,-0.072727273,-0.325012736,-0.05,0.014245014,-0.060927152,0.053152813,-0.296288471,0.008741259,0.016100179,-0.068748772,-0.03968254,-0.108597285,-0.002785515,-0.091849935,-0.130925508,0.276897019,-0.043824701,-0.142156863,-0.038049656,-0.004739336
